Control_ID,Control_Description
CTRL-0000001605,"Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented."
CTRL-0000001603,"Logs that record activities, exceptions, faults and other relevant events shall be produced, stored, protected and analysed."
CTRL-0000001601,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle shall be defined and implemented."
CTRL-0000001599,"IT security hardening specifications shall be established, documented, approved by appointed CS architectural authorities. implemented, monitored and reviewed."
CTRL-0000001598,"No BYOC connectivity shall be allowed for holders of a Company Laptops, unless an emergency case or a formal exceptional use-case has been pre-approved by the appointed CS architectural authorities."
CTRL-0000001597,MFA shall be used to access all External-facing IT System Assets.
CTRL-0000001596,"IT System Assets shall not be configured as External-facing by default, unless justified for business reasons, and approved by the appointed CS architectural authorities."
CTRL-0000001595,"[IIoT] The control system shall provide the capability to limit the number of concurrent sessions per interface for any given user (human, software process or device) to a configurable number of sessions."
CTRL-0000001594,[IIoT] The control system shall support supervisor manual override of the current human user authorizations for a configurable time or event sequence.
CTRL-0000001593,[IIoT] The control system shall provide the capability to obscure feedback of authentication information during the authentication process.
CTRL-0000001592,"[IIoT] The control system shall provide the capability to support verification of the intended operation of security functions and report when anomalies are discovered during FAT, SAT and scheduled maintenance. These security functions shall include all those necessary to support the security requirements specified in this standard."
CTRL-0000001591,[IIoT] The control system shall provide the capability to protect the integrity of sessions. The control system shall reject any usage of invalid session IDs.
CTRL-0000001590,[IIoT] The control system shall provide the capability to synchronize internal system clocks at a configurable frequency.
CTRL-0000001589,[IIoT] The control system shall provide the capability to display a system use notification message before authenticating. The system use notification message shall be configurable by authorized personnel.
CTRL-0000001588,[IIoT] The control system shall identify and handle error conditions in a manner such that effective remediation can occur. This shall be done in a manner which does not provide information that could be exploited by adversaries to attack the IACS unless revealing this information is necessary for the timely troubleshooting of problems.
CTRL-0000001587,"[IIoT] The control system shall provide the capability to enforce usage restrictions for mobile code technologies based on the potential to cause damage to the control system that include:
a) preventing the execution of mobile code;
b) requiring proper authentication and authorization for origin of the code;
c) restricting mobile code transfer to/from the control system; and
d) monitoring the use of mobile code."
CTRL-0000001586,[IIoT] The control system shall provide the capability to verify integrity of the mobile code before allowing code execution.
CTRL-0000001520,A structured assurance scheme shall be implemented at planned intervals to provide information on whether the information security management system conforms to the requirements of the control framework. A list of required documents and reports shall be developed to establish an audit trail and provide evidence of conformance.
CTRL-0000001519,There shall be a formal and communicated disciplinary process in place to take action against employees who have committed an information security breach.
CTRL-0000001518,"Information security responsibilities and duties that remain valid after termination or change of employment shall be defined, communicated to the employee or contractor and enforced."
CTRL-0000001517,"Data shall be securely disposed of, in accordance with any defined retention policy & disposal procedures, where applicable."
CTRL-0000001516,Mobile Application Assets rated as having SEVERE or MAJOR business impact in terms of Confidentiality shall have appropriate Mobile Application Management (MAM) features enforced and enabled.
CTRL-0000001515,"IT software packages shall be version-controlled and archived to include the necessary files and supporting data for each software release including, but not limited to software bill of materials (SBOM), secure configuration scripts, installation files, executables, integrity verification and provenance information."
CTRL-0000001514,IT user identities shall be verified before modifying any authentication factor.
CTRL-0000001513,"APIs shall be configured for secure access, secure API shielding, secure data transfer, and security event logging & monitoring."
CTRL-0000001512,Interactive logons shall be disabled for IT service accounts.
CTRL-0000001511,Cyber Security Event Logging processes should be periodically tested to ensure that events of interest are being detected in line with expectations.
CTRL-0000001510,"Logging and monitoring should be enabled for IaaS, PaaS and SaaS System Assets in the Cloud.  Integration with the Company SIEM solution is preferred for IaaS-hosted System Assets rated as having SEVERE business impact in terms of Confidentiality, Integrity and/or Availability, where possible and practical."
CTRL-0000001509,"An understanding of normally-expected data flows and operations should be developed and refined over time, in order to facilitate the identification & alerting of anomalous events."
CTRL-0000001508,Backup media should be encrypted (for data classified as Secret or Confidential) and hashed (for data rated as Business Critical for Integrity).
CTRL-0000001507,All Company data on removable media and devices should be encrypted by default.
CTRL-0000001506,"System Assets decommissioning should be planned appropriately, to ensure proper management of data and user access per Records Management Standards & Guidelines, and data recoverability requirements."
CTRL-0000001505,Host-based Firewalls and Host-based Intrusion Prevention Systems (HIPS) should be implemented to avoid data breaches.
CTRL-0000001504,"All testing in should be carried out off-line, or in a Test environment separated from the Production system, unless specifically approved by the relevant authority (e.g. System Assets Owner, OT Business Discipline Technical Authority etc.)."
CTRL-0000001503,Strong Encryption should be used for all transfers of Personal Data  between System Assets.
CTRL-0000001502,"The Company information/data classified as Confidential, or handled by System Assets rated as having MAJOR business impact in terms of Confidentiality and/or SEVERE business impact in terms of Integrity, should be protected by Strong Encryption whilst in transit."
CTRL-0000001501,"System Assets processing Personal Data should implement encryption of data-at-rest, however this is optional."
CTRL-0000001500,"The Company information/data classified as Confidential, or handled by System Assets rated as having MAJOR business impact with respect to Confidentiality and/or Integrity, should be protected by Strong Encryption or hosted in a Secure Cell, whilst at rest on IT or OT systems."
CTRL-0000001499,"MFA should be used for access to IT System Assets assessed as having a CS BIA rating of MODERATE, MINOR, or INSIGNIFICANT impact."
CTRL-0000001498,"Every user ID shall have a nominated sponsor, for attestation/re-attestation purposes.  User ID creation requests shall be attested by the sponsor, and re-attested periodically, commensurate with the type of user (e.g. one month prior to end-of-contract)."
CTRL-0000001497,"For System Assets hosted in the Cloud, network segregation and credential/role segregation (from other applications & services hosted by the Cloud Service Provider) should be in place."
CTRL-0000001496,"Room Signage should be visibly displayed at places and rooms where Physical Assets are placed (e.g. equipment room, data center, tape store etc.)."
CTRL-0000001495,"Inventories of all the Company-managed Logical System Assets shall be maintained, and periodically reviewed for accuracy & completeness."
CTRL-0000001494,"Inventories of all Physical Assets shall be maintained, and periodically reviewed for accuracy & completeness."
CTRL-0000001493,All Physical Assets shall be labelled and tagged so that they can be uniquely identified and tracked.
CTRL-0000001492,"IP address ranges shall be managed by the Company network department via a documented request, allocation, and approval process. All new subnet IP ranges for all entities connected to the Company network shall require the Company network department approval, prior to allocation."
CTRL-0000001491,An inventory of interfaces through which the Company data flows shall be maintained & kept up-to-date.
CTRL-0000001490,Ownership of all the Company domain names shall be vested in the Company’s strategic communications function.
CTRL-0000001489,"Inventories of all Third-Party-managed Logical System Assets used by  the Company shall be maintained, and periodically reviewed for accuracy & completeness."
CTRL-0000001488,The Company shall appoint an internal authority for approval of requests for new domain names for internal websites.
CTRL-0000001487,An up-to-date inventory shall be maintained of all of the Company registered domain names and IP address ranges.
CTRL-0000001486,The Company’s strategic communications function shall have the sole authority to approve requests for new domain names for external websites.
CTRL-0000001485,"Data ownership, management, processing, and handling roles & responsibilities shall be identified, defined and communicated (e.g. via a published RACI model)."
CTRL-0000001484,All System Assets shall be subject to Asset Prioritization (as per the Cyber Risk Management Guidelines & Procedures).
CTRL-0000001483,Cyber security roles and responsibilities shall be defined for Employees and Contractors.
CTRL-0000001482,"System assets shall be categorised based on the impact ratings in the CS BIA, for impact of loss of Confidentiality, integrity and/or availability.  
There are five impact levels: Severe, Major, Moderate, Minor, Insignificant."
CTRL-0000001481,"The Company’s position and relevance with respect to national critical infrastructure, and supply in the oil & gas sector shall be assessed, in order to understand external stakeholder requirements and applicable regulations."
CTRL-0000001480,"The Company’s role in the supply chain shall be analysed, in order to help define responsibilities for cyber security throughout the supply chain."
CTRL-0000001479,The Company’s mission and business objectives shall be assessed and fed into the development of the Cyber Security Strategy.
CTRL-0000001478,"The Company data classification scheme shall be used to provide standard confidentiality classifications for information assets (e.g. as part of the CS BIA process). The scheme provides four levels of data classification:

- Secret (Rahsia), Confidential (Sulit), Internal Use (Untuk Dalaman), and Open (Terbuka)."
CTRL-0000001477,"The Cyber Security Strategy shall be defined, periodically reviewed, and maintained, in order to support (and, where possible, link to) the Company’s mission and business objectives."
CTRL-0000001476,"The Cyber Risk Management Guidelines & Procedures shall describe the scope, approach/method for assessing requirements for System Assets redundancy & resilience, and Disaster Recovery."
CTRL-0000001475,The Company’s business continuity strategy and plans should reflect requirements for DR Plans for System Assets rated as having SEVERE or MAJOR business impact with respect to Availability.
CTRL-0000001474,Results from a formal CS BIA shall be used to determine the need for DR Plans and High Availability design (in support of the Company’s business continuity methodology and plans).
CTRL-0000001472,"The Company's ISMS components shall be reviewed by management at planned intervals to ensure their continuing suitability, adequacy and effectiveness."
CTRL-0000001471,"The Company shall establish, implement, maintain and continually improve a complete set of Information Security Management System (ISMS)  components in accordance with the requirements of the PETRONAS Cyber Security Control Standards."
CTRL-0000001470,"The Company’s governing Cyber Security policies, frameworks, standards, guidelines, procedures and checklists shall be defined, reviewed periodically, and communicated to all relevant stakeholders."
CTRL-0000001469,"Cyber Security function shall be established with the overall responsibility for the organization’s Cyber Security Policy, Enterprise Control Framework and standard which coordinates cyber security activities across the organization.  The function shall be adequately-funded and staffed with appropriately-skilled resources."
CTRL-0000001468,Head of the cyber security function shall have accountability to assess and ensure that the cyber security risk is managed across the Company.
CTRL-0000001467,The Company’s management and board shall be responsible for providing clear leadership and commitment by providing the resources required to meet the cyber security policy and objective.
CTRL-0000001466,"Enterprise Architecture-approved target operating environments and reference models shall satisfy the applicable Cyber Security architectural requirements, and PETRONAS Cyber Security Control Standards."
CTRL-0000001465,"All the Company applicable cyber security statutory, regulatory, contractual, and compliance requirements shall be identified, incorporated in cyber security guidelines, frameworks & procedures, and adhered to."
CTRL-0000001464,"Contact information for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities shall be maintained and regularly verified."
CTRL-0000001463,The function shall monitor security performance to ensure the ongoing effectiveness and efficiency of cyber security.
CTRL-0000001462,Appropriate contacts with special interest groups or other specialist security forums and professional associations shall be maintained.
CTRL-0000001461,"Any identified findings from risk assessments, compliance assessments, or audits shall be addressed, as per the Cyber Security Risk Management Guidelines & Procedures."
CTRL-0000001460,"The Company shall subscribe to threat intelligence sources and information-sharing forums, in order to obtain up-to-date information regarding the threat landscape."
CTRL-0000001459,"All System Assets shall be subject to the Cyber Security Risk Management Guidelines & Procedures, in order to ensure an equivalent level of security across assets."
CTRL-0000001458,"Threat intelligence procedure shall be defined that covers identification, gathering, and collecting of information on cyber security threats."
CTRL-0000001457,"Information about security vulnerabilities of network & system hardware and software shall be obtained regularly from verified sources, including patch information."
CTRL-0000001456,"Internal security alerts, advisories, and directives shall be generated when appropriate, based on Threat Intelligence."
CTRL-0000001455,"Threat hunting activities for identifying emerging threats shall be defined. The Company’s Threat Hunting Procedure shall cover hypothesis, research, investigation, detection and analysis, informing, reporting and enrichment."
CTRL-0000001454,"A threat awareness programme shall be implemented with a cross-organizational information-sharing capability in the Company, with a central information repository maintained for practices, techniques, and technology."
CTRL-0000001453,"The Cyber Risk Management Guidelines & Procedures shall describe the scope, approach/method for assessing risk on the basis of impact, threat, vulnerability, and likelihood."
