Guidance_ID,Guidance_Description,Control_ID,Control_Description
FUNC-0000001669,5G network slicing should be implemented by 5G network service provider to enable the creation of multiple logical networks over the same physical infrastructure for the purposes of network isolation.,CTRL-0000001425,"A network segmentation architecture shall be established, documented and implemented for the Company IT/OT networks."
FUNC-0000001330,A backup of legacy systems should be tested whenever there is a change in environment and with regular agreed frequency (e.g. Quarterly) to ensure that legacy data backups are still readable by new backup devices.,CTRL-0000001382,"Backup restoration shall be tested as per schedule, where defined in the backup & restore plan."
FUNC-0000001289,"A change record should contain details which include but are not limited to: requestor details, change type, change description expected outage window, rollback plan, business and service impact, cyber security risk assessment, dependencies etc.",CTRL-0000001038,"Changes to IT System Assets shall be formally requested, planned, approved and initiated. Changes to OT assets shall be as per the site's MOC procedures and guidelines and the PTW system of the facility."
FUNC-0000001253,"A cyber security advisor should be assigned to all projects involving new System Assets deployment, or enhancements.",CTRL-0000001387,"Cyber security shall be addressed as part of project delivery frameworks/models, to ensure that engagement with the Cyber Security Function occurs at appropriate times in projects, and that necessary controls are identified and implemented. The framework/model shall include the development & acquisition of hardware, software, on-premise & cloud-based services."
FUNC-0000001346,"A data wipe should be initiated for lost or stolen Mobile Devices containing Company data, when necessary and feasible, with BYOD users made aware up-front of the potential for wiping of (some areas of, or all of) their device storage.",CTRL-0000001517,"Data shall be securely disposed of, in accordance with any defined retention policy & disposal procedures, where applicable."
FUNC-0000001262,"A formal communication should be sent to users, System Assets owners and Head of Entity about the permanent shutdown of the System Assets.",CTRL-0000001506,"System Assets decommissioning should be planned appropriately, to ensure proper management of data and user access per Records Management Standards & Guidelines, and data recoverability requirements."
FUNC-0000001049,"A formal user registration and de-registration procedure should be in place for granting and revoking access to all information systems and services, covering all types of accounts.",CTRL-0000001015,"A formal user account provisioning process shall be in place, for provision of all types of accounts."
FUNC-0000001408,"A full system scan should be performed on new IT assets at deployment time, and monthly thereafter. For OT, scans will be performed as per OEM guidelines.",CTRL-0000001055,"Detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate standards, guidelines and procedures in place, including user awareness and training."
FUNC-0000001123,A guest network with internet access should be restricted from accessing internal networks.,CTRL-0000001421,"Wireless connectivity in the Company IT networks shall be securely designed and implemented, in order to ensure proper authentication, segregation, and data security."
FUNC-0000001416,"A licenced anti-virus suite (firewall, anti-virus, and web site protector applications) should be installed on BYOC/BYOD devices.",CTRL-0000001351,Agreements for use of BYOC/BYOD devices in the Company networks shall include the requirement for up-to-date anti-malware protection.
FUNC-0000001367,"A monitoring and internal reporting capability should be established and maintained over the operations of cryptographic, encryption and key management policies, processes, procedures, and controls.",CTRL-0000001051,Cyber security requirements for event logging shall be identified for IT and OT System Assets.
FUNC-0000001916,A network device at a zone boundary should provide the capability to monitor and control communications at zone boundaries to enforce the compartmentalization defined in the riskbased zones and conduits model.,CTRL-0000001099,SR 5.2 - The control system shall provide the capability to monitor and control communications at zone boundaries to enforce the compartmentalization defined in the risk-based zones and conduits model.
FUNC-0000001920,"A network device at a zone boundary should provide the capability to protect against general purpose, person-to-person messages from being received from users or systems external to the control system.",CTRL-0000001151,SR 5.3 - The control system shall provide the capability to prevent general purpose person-to-person messages from being received from users or systems external to the control system.
FUNC-0000001868,"A network device supporting wireless access management should provide the capability to identify and authenticate all users (humans, software processes or devices) engaged in
wireless communication.",CTRL-0000001080,"SR 1.6 - The control system shall provide the capability to identify and authenticate all users (humans, software processes or devices) engaged in wireless communication."
FUNC-0000001291,"A Normal request should be raised if the change causes major impact, but is not bound to a critical timeframe as emergency change.",CTRL-0000001038,"Changes to IT System Assets shall be formally requested, planned, approved and initiated. Changes to OT assets shall be as per the site's MOC procedures and guidelines and the PTW system of the facility."
FUNC-0000001070,"A notification email should be sent to the user and account sponsor, at least 3 days prior to disabling access.",CTRL-0000001019,Inactive accounts shall be disabled to avoid the risks of unused/unnecessary accounts being present for unauthorised use.
FUNC-0000001147,"A notification of a password expiry date, with a recommendation to change the password, should be sent to the user at least 3 days prior to expiry.",CTRL-0000001181,"All accounts used to access System Assets shall be securely configured, with strong passwords implemented as defined by the appointed CS architectural authorities for each technology domain."
FUNC-0000001228,A Personal Firewall solution (e.g. Windows Defender) should be installed on Company-managed laptops.  This is also strongly recommended for BYOC.,CTRL-0000001390,"The Company information accessed from, and stored in Mobile Devices shall be protected through a combination of device registration & authentication, access control, device-hardening in line with the Company End-point platform cyber security technical baselines, user awareness, and physical security controls."
FUNC-0000001143,A random password generator should be used to generate initial passwords or reset passwords.,CTRL-0000001181,"All accounts used to access System Assets shall be securely configured, with strong passwords implemented as defined by the appointed CS architectural authorities for each technology domain."
FUNC-0000001065,"A record of privileged IT access requests should be formally maintained, along with details of the corresponding approvals and entitlements in the appointed CS architectural authorities-approved tool.",CTRL-0000001013,"Use of privileged IT/OT accounts shall be strictly controlled, to avoid the risks of system misuse or compromize."
FUNC-0000001045,A record of who uses an emergency account should be retained for a minimum of 18 months.,CTRL-0000001011,"Emergency accounts shall only be used when access to privileged accounts is unavailable, and shall be strictly controlled."
FUNC-0000001185,A record/audit trail should be maintained for movements of all non-end-user assets (e.g. servers & network devices).,CTRL-0000001403,The Company-owned Physical Assets shall not be taken off-site without prior authorisation.
FUNC-0000001241,"A request should be raised, and management approval obtained prior to connection a BYOC device to the Company network.",CTRL-0000001516,Mobile Application Assets rated as having SEVERE or MAJOR business impact in terms of Confidentiality shall have appropriate Mobile Application Management (MAM) features enforced and enabled.
FUNC-0000001297,"A roll-back plan should be produced, including steps and responsibilities for aborting and recovering from unsuccessful changes, or if there are unforeseen events.",CTRL-0000001038,"Changes to IT System Assets shall be formally requested, planned, approved and initiated. Changes to OT assets shall be as per the site's MOC procedures and guidelines and the PTW system of the facility."
